id,page,bbox,text length,text
707,page 27 of ../pdf/shell-sustainability-report-2020.pdf,"(56.6930046081543, 296.56378173828125, 293.39703369140625, 328.0597839355469)",29,"We are working to ensure continuous learning is a deeply embedded habit and our workplace is an environment where people feel comfortable to speak up, particularly on difficult issues. "
708,page 27 of ../pdf/shell-sustainability-report-2020.pdf,"(56.6930046081543, 336.56378173828125, 296.6770324707031, 388.0597839355469)",46,"We are updating the various systems and controls we have in place to enable people to more effectively identify and address potential safety incidents. For example, we are improving work planning by having more in-depth discussions before, during and after tasks to identify and implement improvements. "
709,page 27 of ../pdf/shell-sustainability-report-2020.pdf,"(56.6930046081543, 396.56378173828125, 298.7889404296875, 438.0597839355469)",35,"Increasingly, we concentrate on leading indicators of process safety to understand the effectiveness of our barriers and work processes, rather than focusing just on indicators of past performance, such as the absence of safety incidents. "
710,page 27 of ../pdf/shell-sustainability-report-2020.pdf,"(66.69300842285156, 461.45477294921875, 203.82901000976562, 473.3987731933594)",3,RISK MANAGEMENT APPROACH 
711,page 27 of ../pdf/shell-sustainability-report-2020.pdf,"(81.5082015991211, 508.27203369140625, 284.8653869628906, 526.0133056640625)",4,Threats Consequences TOP  EVENT 
712,page 27 of ../pdf/shell-sustainability-report-2020.pdf,"(101.38349151611328, 546.3297729492188, 255.24107360839844, 555.2628173828125)",4,"RECOVERY MEASURES CONTROLS, BARRIERS "
713,page 27 of ../pdf/shell-sustainability-report-2020.pdf,"(66.69300079345703, 568.9848022460938, 285.7350769042969, 601.2708129882812)",49,"Our global standards and operating procedures define the controls and physical barriers we believe are necessary to prevent incidents. We refer to this system of barriers and recovery measures as a bow-tie model, which visually represents a system where process safety hazards are managed through prevention and response barriers. "
714,page 27 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 621.4287719726562, 295.68505859375, 692.9247436523438)",60,"We also continue to better align the various approaches to managing facilities across our businesses to enable safer ways of working. For example, all Shell-operated facilities and some non-operated ventures have adopted a single global asset management system. The system simplifies work processes and helps people across Shell share expertise in asset equipment care, maintenance, learning from incidents and assurance. "
715,page 27 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 700.9807739257812, 298.92498779296875, 752.9247436523438)",47,Process safety fundamentals Our refreshed approach to safety is built on work we have carried out since 2016 to strengthen barriers involving critical safety tasks performed by front-line staff. Embedding a set of 10 process safety fundamentals across Shell has been key to this approach. They provide 
716,page 27 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 96.56377410888672, 536.8261108398438, 138.05978393554688)",33,"clear guidelines for good operating practice to prevent unplanned releases of hazardous materials. We encourage employees and contractors to use them in daily conversations to identify safety dilemmas, so they can be resolved. "
717,page 27 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 146.11578369140625, 542.2979736328125, 218.05978393554688)",54,"Advances in technology In 2020, we increased our use of drones, robots and digital technology, such as augmented reality, as lockdowns caused by the COVID-19 pandemic disrupted the movement of people. This technology enabled us to carry out more remote monitoring and continue to assure data to meet safety and environmental performance reporting standards. "
718,page 27 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 226.56378173828125, 545.7140502929688, 298.0597839355469)",63,"An example of this technology in action is at the Shell-operated Ormen Lange facility where teams sent a remote-controlled vessel alone into the Norwegian Sea, 100 kilometres from land, to inspect the gas field. This enabled mariners based in Ireland to take the helm using a computer-generated joystick without breaching COVID-19 restrictions. Read the full story: How technology stepped up when COVID-19 struck. "
719,page 27 of ../pdf/shell-sustainability-report-2020.pdf,"(320.31500244140625, 454.2718200683594, 539.75537109375, 471.59332275390625)",21,"The X-07 vessel collected data from the Ormen Lange gas field in Norway, while remotely operated by experts based in Ireland. "
720,page 27 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 486.4728088378906, 547.2579956054688, 528.4168090820312)",26,"Process safety performance In line with industry standards, we measure and report process safety incidents according to significance, with Tier 1 as the most significant category. "
721,page 27 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 558.976806640625, 531.4180908203125, 581.2503051757812)",10,TIER 1+2 OPERATIONAL PROCESS SAFETY EVENTS [A] * excluding sabotage 
722,page 27 of ../pdf/shell-sustainability-report-2020.pdf,"(316.56610107421875, 584.7327270507812, 325.9136047363281, 591.9235229492188)",1,500 
723,page 27 of ../pdf/shell-sustainability-report-2020.pdf,"(322.786376953125, 658.854736328125, 325.91387939453125, 666.0455322265625)",1,0 
724,page 27 of ../pdf/shell-sustainability-report-2020.pdf,"(317.5972595214844, 644.0307006835938, 325.9139099121094, 651.2214965820312)",1,100 
725,page 27 of ../pdf/shell-sustainability-report-2020.pdf,"(316.6163024902344, 629.2060546875, 325.91375732421875, 636.3968505859375)",1,200 
726,page 27 of ../pdf/shell-sustainability-report-2020.pdf,"(316.656005859375, 614.3820190429688, 325.9134216308594, 621.5728149414062)",1,300 
727,page 27 of ../pdf/shell-sustainability-report-2020.pdf,"(316.5310363769531, 599.557373046875, 325.9135437011719, 606.7481689453125)",1,400 
728,page 27 of ../pdf/shell-sustainability-report-2020.pdf,"(369.3623352050781, 667.7423095703125, 545.148193359375, 674.93310546875)",8,15 18 19 20 13 14 16 17 
729,page 27 of ../pdf/shell-sustainability-report-2020.pdf,"(327.71856689453125, 689.7487182617188, 341.04412841796875, 698.3743286132812)",2,Tier 1 
730,page 27 of ../pdf/shell-sustainability-report-2020.pdf,"(327.98541259765625, 700.259521484375, 342.4874572753906, 708.8851318359375)",2,Tier 2 
731,page 27 of ../pdf/shell-sustainability-report-2020.pdf,"(310.6599426269531, 689.5003051757812, 313.65386962890625, 697.0525512695312)",1,a 
732,page 27 of ../pdf/shell-sustainability-report-2020.pdf,"(336.3533020019531, 653.021728515625, 339.34722900390625, 660.573974609375)",1,a 
733,page 27 of ../pdf/shell-sustainability-report-2020.pdf,"(336.3533020019531, 628.7881469726562, 339.34722900390625, 636.3403930664062)",1,b 
734,page 27 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3434753417969, 700.5943603515625, 313.33740234375, 708.1466064453125)",1,b 
735,page 27 of ../pdf/shell-sustainability-report-2020.pdf,"(344.4356384277344, 667.7423095703125, 349.53973388671875, 674.93310546875)",1,12 
736,page 27 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 717.8698120117188, 543.5543212890625, 742.1558227539062)",35,"[A] Process safety events classified according to guidance from the IOGP and API. In 2020, there was one Tier 1 sabotage-related event. The classification of sabotage-related process safety events is made on the best-endeavours basis. "
737,page 27 of ../pdf/shell-sustainability-report-2020.pdf,"(85.91401672363281, 36.95581817626953, 495.98699951171875, 53.414794921875)",10,1. 2. 3. 4. 5. 6. 7. SUSTAINABILITY AT SHELL 
738,page 27 of ../pdf/shell-sustainability-report-2020.pdf,"(162.45999145507812, 36.95679473876953, 195.60397338867188, 53.414794921875)",3,OUR CORE VALUES 
739,page 27 of ../pdf/shell-sustainability-report-2020.pdf,"(229.4189910888672, 37.29279708862305, 261.927001953125, 60.914794921875)",3,ACHIEVING NET-ZERO EMISSIONS 
740,page 27 of ../pdf/shell-sustainability-report-2020.pdf,"(296.37799072265625, 37.29279708862305, 470.84991455078125, 60.914794921875)",7,RESPECTING NATURE POWERING LIVES GENERATING SHAREHOLDER VALUE 
741,page 27 of ../pdf/shell-sustainability-report-2020.pdf,"(497.25494384765625, 37.29279708862305, 539.9509887695312, 60.914794921875)",3,OUR PERFORMANCE DATA 
742,page 27 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69293212890625, 764.6267700195312, 225.89988708496094, 775.9592895507812)",5,25 Shell Sustainability Report 2020 
743,page 28 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 96.56377410888672, 298.9410400390625, 158.05978393554688)",70,"The number of Tier 1 and 2 operational process safety events decreased from 130 in 2019 to 103 in 2020, of which 34 were Tier 1 and 69 were Tier 2. For comparison, there were 41 Tier 1 and 89 Tier 2 operational process safety events in 2019. This is Shell’s best annual performance for combined Tier 1 and Tier 2 incidents since implementing this industry process safety performance metric. "
744,page 28 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 166.56378173828125, 296.0849914550781, 218.05978393554688)",55,"In 2020, there was one significant process safety incident related to a fire and subsequent equipment damage in the Shales business in Texas. The fire was caused by mechanical failure of a pump that caused a release of lubrication oil that caught fire and damaged several pumps. There were no injuries associated with this event. "
745,page 28 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 226.56378173828125, 286.64501953125, 258.0597839355469)",26,Process safety events related to sabotage and theft in Nigeria are recorded separately. There was one Tier 1 event in 2020 compared with nine in 2019. 
746,page 28 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 266.56378173828125, 249.7889862060547, 278.0597839355469)",8,Visit www.shell.com/safety for more on Shell and safety. 
747,page 28 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 286.56378173828125, 291.708984375, 328.0597839355469)",32,"Visit www.shell.com/process-safety for more on our approach to process safety and full details of our approach to risk management, including the controls and physical barriers we believe are necessary to prevent incidents. "
748,page 28 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 336.11578369140625, 298.64495849609375, 408.0597839355469)",52,"RAISING SAFETY STANDARDS Across the industry We learn from others and share our safety experience and standards with other operators, contractors and professional organisations, including the International Association of Oil & Gas Producers (IOGP), the Energy Institute and IPIECA, the global oil and gas industry association for advancing environmental and social performance. "
749,page 28 of ../pdf/shell-sustainability-report-2020.pdf,"(66.61399841308594, 564.2717895507812, 271.0323791503906, 581.59326171875)",14,We operate and charter helicopters and planes to transport staff and contractors to facilities. 
750,page 28 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 596.9208374023438, 294.18096923828125, 668.4168090820312)",66,"In 2020, we continued to work with offshore helicopter safety association HeliOffshore and the IOGP in a number of areas to drive safer ways of working with aircraft. Together with aviation industry groups, helicopter operators, and other energy companies, we developed a common set of industry guidelines and best practices for offshore helicopter flights. These include recommended improvements such as warning systems with earlier hazard alerts. "
751,page 28 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 676.9208374023438, 282.9729919433594, 698.4168090820312)",18,This work is designed to deliver a more consistent approach and a stronger safety performance across the industry. 
752,page 28 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 706.4728393554688, 289.1730651855469, 748.4168090820312)",31,"With our contractors Since 2014, Shell executives have collaborated in pairs with executives of major contractor companies – as part of Shell’s contractor safety leadership programme – to identify strategies and "
753,page 28 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 96.56279754638672, 548.56201171875, 138.05880737304688)",39,practical steps to improve safety culture and achieve our Goal Zero ambition of no harm and no leaks. They have also worked together to drive standardisation and simplification. The programme has a joint safety vision and includes 21 companies. 
754,page 28 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 146.56280517578125, 547.0980224609375, 198.05880737304688)",41,"In 2020, the contractor safety leadership programme focused on worker welfare, mental health, digital technology, and Shell’s refreshed approach to safety (see Our approach to safety), including ways to strengthen its implementation in 2021. Challenges posed by COVID-19 were also discussed. "
755,page 28 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 206.11480712890625, 548.05810546875, 278.0588073730469)",61,"PREPARING FOR EMERGENCIES We work to ensure we have the necessary resources to deal with spills, leaks, fires and explosions, both offshore and onshore. We regularly test our response procedures and capability so we can respond rapidly to an incident. We recognise the need for urgent and transparent communication with relevant stakeholders, such as local authorities, in response to an incident. "
756,page 28 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 286.56280517578125, 551.97802734375, 328.0588073730469)",40,"In 2020, COVID-19 restrictions made it difficult to run large-scale training in person. As a result, we accelerated our drive towards virtual support and new ways of working to maintain our response readiness by, for example, using online collaboration tools. "
757,page 28 of ../pdf/shell-sustainability-report-2020.pdf,"(320.31500244140625, 465.3847961425781, 539.50830078125, 482.706298828125)",21,Shell employees and contractors connected virtually in 2020 as COVID-19 restrictions made it difficult to run oil spill exercises in person. 
758,page 28 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 498.0337829589844, 550.7222290039062, 579.5297241210938)",70,"We trained around 500 employees and contractors on a large-scale virtual oil spill exercise and several smaller exercises. These involved businesses in Brazil, Canada, Qatar, Singapore, Trinidad and Tobago, the UK and the USA and included oil spill scenarios related to our shipping, offshore production, and refining operations. Exercises involved our emergency response contractors, joint-venture partners, and regulatory authorities to test our organisational capability to manage a worst-case spill incident. "
759,page 28 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 588.0337524414062, 547.2339477539062, 659.5297241210938)",67,"In the UK, we carried out a two-day simulation of an oil spill from an offshore drilling operation that required the use of specialised equipment from local suppliers and from Italy, Norway, and Singapore. The exercise involved around 200 people and tested procedures to contain the release, such as deploying floating barriers and applying dispersant to the oil, and required working with freight contractors and customs authorities. "
760,page 28 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 668.0337524414062, 543.2900390625, 699.5297241210938)",29,"We have worked with maritime authorities and emergency response partners in Scotland, UK, to train local fishermen in oil spill response methods, such as oil sampling and dispersant effectiveness. "
761,page 28 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 708.0337524414062, 549.2579956054688, 729.5297241210938)",14,You can watch the training exercise that took place in March 2020 at www.youtube.com/watch?v=v3RKllZPcyg 
762,page 28 of ../pdf/shell-sustainability-report-2020.pdf,"(85.91401672363281, 36.95581817626953, 495.98699951171875, 53.414794921875)",10,1. 2. 3. 4. 5. 6. 7. SUSTAINABILITY AT SHELL 
763,page 28 of ../pdf/shell-sustainability-report-2020.pdf,"(162.45999145507812, 36.95679473876953, 195.60397338867188, 53.414794921875)",3,OUR CORE VALUES 
764,page 28 of ../pdf/shell-sustainability-report-2020.pdf,"(229.4189910888672, 37.29279708862305, 261.927001953125, 60.914794921875)",3,ACHIEVING NET-ZERO EMISSIONS 
765,page 28 of ../pdf/shell-sustainability-report-2020.pdf,"(296.37799072265625, 37.29279708862305, 470.84991455078125, 60.914794921875)",7,RESPECTING NATURE POWERING LIVES GENERATING SHAREHOLDER VALUE 
766,page 28 of ../pdf/shell-sustainability-report-2020.pdf,"(497.25494384765625, 37.29279708862305, 539.9509887695312, 60.914794921875)",3,OUR PERFORMANCE DATA 
767,page 28 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69293212890625, 764.6267700195312, 225.89988708496094, 775.9592895507812)",5,26 Shell Sustainability Report 2020 
768,page 29 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 96.56377410888672, 297.90899658203125, 138.05978393554688)",40,"We also used our incident management system to help co-ordinate the evacuation of platforms due to COVID-19 and hurricanes in the US Gulf of Mexico, and to help around 2,000 seafarers stranded on vessels to get home during the pandemic. "
769,page 29 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 146.11578369140625, 284.1409912109375, 188.05978393554688)",25,"Spills Shell has procedures to prevent operational spills. We also have routine programmes to maintain facilities and pipelines, to improve reliability and to reduce spills. "
770,page 29 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 196.56378173828125, 298.60504150390625, 238.05978393554688)",41,"But spills still occur for reasons such as operational failure, accidents or sabotage. We investigate and learn from spills to improve our performance and aim to clean up the areas around operations that are affected by spills, irrespective of the cause. "
771,page 29 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 246.11578369140625, 136.2370147705078, 258.0597839355469)",2,Spills performance 
772,page 29 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 278.6197814941406, 170.63702392578125, 290.56378173828125)",4,SPILLS – OPERATIONAL [A] 
773,page 29 of ../pdf/shell-sustainability-report-2020.pdf,"(57.68259811401367, 300.9269714355469, 62.871768951416016, 308.11773681640625)",1,10 
774,page 29 of ../pdf/shell-sustainability-report-2020.pdf,"(59.74435043334961, 369.7933044433594, 62.871864318847656, 376.98406982421875)",1,0 
775,page 29 of ../pdf/shell-sustainability-report-2020.pdf,"(59.77938461303711, 335.34088134765625, 62.87187194824219, 342.5316467285156)",1,5 
776,page 29 of ../pdf/shell-sustainability-report-2020.pdf,"(285.93609619140625, 300.9269714355469, 295.19854736328125, 308.11773681640625)",1,250 
777,page 29 of ../pdf/shell-sustainability-report-2020.pdf,"(285.93609619140625, 369.7933044433594, 289.0635986328125, 376.98406982421875)",1,0 
778,page 29 of ../pdf/shell-sustainability-report-2020.pdf,"(285.93609619140625, 335.34088134765625, 294.1326904296875, 342.5316467285156)",1,125 
779,page 29 of ../pdf/shell-sustainability-report-2020.pdf,"(74.957275390625, 405.47406005859375, 145.74464416503906, 414.0996398925781)",5,Number of spills (right axis) 
780,page 29 of ../pdf/shell-sustainability-report-2020.pdf,"(74.957275390625, 395.615478515625, 169.44256591796875, 404.2410583496094)",6,Volume in thousand tonnes (left axis) 
781,page 29 of ../pdf/shell-sustainability-report-2020.pdf,"(83.26908874511719, 377.3343811035156, 270.6041564941406, 384.525146484375)",10,11 13 18 15 17 19 20 12 14 16 
782,page 29 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 425.6708068847656, 290.1650695800781, 441.9568176269531)",29,[A] All spill volumes and numbers are for hydrocarbon spills of more than 100 kilograms. We have updated some of our historical figures following a review of the data. 
783,page 29 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 453.61181640625, 291.1730041503906, 485.1078186035156)",36,"The volume of operational spills of oil and oil products in 2020 was 0.4 thousand tonnes, an increase from 0.2 thousand tonnes in 2019. This was partly due to an underground leak of around 0.3 thousand "
784,page 29 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 96.56377410888672, 547.8419799804688, 148.05978393554688)",53,"tonnes (plus or minus 30%) of light gas oil at the Rheinland refinery in Germany, formed at some point between 2016 and 2019, with the volume established in 2020. We have agreed to a remediation plan with local authorities, which is currently being implemented, and are publishing progress reports on the refinery’s webpage. "
785,page 29 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 156.56378173828125, 546.5780029296875, 188.05978393554688)",33,There were 69 operational spills of more than 100 kilograms in 2020 compared with 67 in 2019. We have programmes in place to reduce the number of operational spills over the long term. 
786,page 29 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 208.61981201171875, 422.3541259765625, 220.56381225585938)",5,SPILLS – SABOTAGE [A] [B] 
787,page 29 of ../pdf/shell-sustainability-report-2020.pdf,"(311.3833923339844, 230.6486358642578, 316.5725402832031, 237.83941650390625)",1,10 
788,page 29 of ../pdf/shell-sustainability-report-2020.pdf,"(313.44512939453125, 299.5149841308594, 316.5726318359375, 306.70574951171875)",1,0 
789,page 29 of ../pdf/shell-sustainability-report-2020.pdf,"(313.48016357421875, 265.0625305175781, 316.5726623535156, 272.2532958984375)",1,5 
790,page 29 of ../pdf/shell-sustainability-report-2020.pdf,"(539.6369018554688, 230.6486358642578, 548.8992919921875, 237.83941650390625)",1,250 
791,page 29 of ../pdf/shell-sustainability-report-2020.pdf,"(539.6369018554688, 299.5149841308594, 542.764404296875, 306.70574951171875)",1,0 
792,page 29 of ../pdf/shell-sustainability-report-2020.pdf,"(539.6369018554688, 265.0625305175781, 547.8334350585938, 272.2532958984375)",1,125 
793,page 29 of ../pdf/shell-sustainability-report-2020.pdf,"(328.6580810546875, 335.1957092285156, 399.4454345703125, 343.8212890625)",5,Number of spills (right axis) 
794,page 29 of ../pdf/shell-sustainability-report-2020.pdf,"(328.6580810546875, 325.3371276855469, 423.14324951171875, 333.96270751953125)",6,Volume in thousand tonnes (left axis) 
795,page 29 of ../pdf/shell-sustainability-report-2020.pdf,"(336.96990966796875, 307.7783203125, 525.4728393554688, 314.9698486328125)",10,11 13 18 20 15 17 19 12 14 16 
796,page 29 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 355.6708068847656, 547.268310546875, 387.9568176269531)",39,[A] Sabotage- and theft-related spills of more than 100 kilograms. We have updated some of our historical figures following a review of the data. [B] All sabotage- and theft-related spills occurred in Nigeria except in 2016 (0.001 thousand tonnes). 
797,page 29 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 399.61181640625, 548.9299926757812, 451.1078186035156)",51,"The number of spills caused by sabotage and theft decreased to 122 in 2020 from 156 in 2019. The volume of these spills decreased to 1.4 thousand tonnes in 2020 from 2.3 thousand tonnes in 2019. Sabotage and oil theft remained a significant cause of spills in the Niger Delta, Nigeria. "
798,page 29 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 459.61181640625, 526.14599609375, 481.1078186035156)",9,Visit www.shell.com/process-safety for more on our emergency response procedures. 
799,page 29 of ../pdf/shell-sustainability-report-2020.pdf,"(85.91401672363281, 36.95679473876953, 495.98699951171875, 53.414794921875)",10,1. 2. 3. 4. 5. 6. 7. SUSTAINABILITY AT SHELL 
800,page 29 of ../pdf/shell-sustainability-report-2020.pdf,"(162.45999145507812, 36.95679473876953, 195.60397338867188, 53.414794921875)",3,OUR CORE VALUES 
801,page 29 of ../pdf/shell-sustainability-report-2020.pdf,"(229.4189910888672, 37.29279708862305, 261.927001953125, 60.914794921875)",3,ACHIEVING NET-ZERO EMISSIONS 
802,page 29 of ../pdf/shell-sustainability-report-2020.pdf,"(296.37799072265625, 37.29279708862305, 470.84991455078125, 60.914794921875)",7,RESPECTING NATURE POWERING LIVES GENERATING SHAREHOLDER VALUE 
803,page 29 of ../pdf/shell-sustainability-report-2020.pdf,"(497.25494384765625, 37.29279708862305, 539.9509887695312, 60.914794921875)",3,OUR PERFORMANCE DATA 
804,page 29 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69293212890625, 764.6267700195312, 225.89988708496094, 775.9592895507812)",5,27 Shell Sustainability Report 2020 
805,page 30 of ../pdf/shell-sustainability-report-2020.pdf,"(73.70099639892578, 96.82477569580078, 243.70098876953125, 210.45578002929688)",8,SPECIAL REPORT SPILL RESPONSE AND PREVENTION IN NIGERIA 
806,page 30 of ../pdf/shell-sustainability-report-2020.pdf,"(56.692996978759766, 217.56378173828125, 294.6130676269531, 269.0597839355469)",51,"The Shell Petroleum Development Company of Nigeria Ltd (SPDC) produces oil and gas through its SPDC Joint Venture (SPDC-operated, with Shell interest 30%). It operates a network of wells and pipelines across the Niger Delta, a region of forest, farmland, rivers and marshes – the home to around 40 million people. "
807,page 30 of ../pdf/shell-sustainability-report-2020.pdf,"(56.692996978759766, 277.56378173828125, 297.60504150390625, 339.0597839355469)",67,"For decades, the region has been beset by crude oil theft, sabotage of pipelines and illegal oil refining. This results in oil spills, which cause harm to the environment and can damage people’s livelihoods and Shell’s businesses. This illegal activity sometimes occurs in remote areas of the Niger Delta and the SPDC JV can face challenges when it comes to responding to incidents and accessing its infrastructure. "
808,page 30 of ../pdf/shell-sustainability-report-2020.pdf,"(56.692996978759766, 347.56378173828125, 291.7809753417969, 439.0597839355469)",101,"No spill is acceptable, and we work hard to prevent them. Over the last decade, the total number of operational spills in the Niger Delta has fallen significantly, from more than 60 in 2011 to 11 in 2020. The SPDC JV has also made good progress in reducing spills caused by third-party interference and other illegal activities. The combined volume of third-party and operational spills in 2020 was at its lowest level in 10 years. SPDC continues to review its portfolio options for onshore oil in Nigeria. In the last decade, SPDC has reduced its licences in this area by half. "
809,page 30 of ../pdf/shell-sustainability-report-2020.pdf,"(56.692996978759766, 447.56378173828125, 298.740966796875, 519.0597534179688)",55,"Frequent overflights, on-the-ground inspections and anti-theft protection mechanisms, such as anti-tamper locks and steel cages with CCTV for wellheads, all help discourage crude third-party interference. In addition, closer community relations, the use of new surveillance equipment and improved collaboration with government security agencies have led to quicker, more effective interventions before damage can be done. "
810,page 30 of ../pdf/shell-sustainability-report-2020.pdf,"(66.61399841308594, 675.2717895507812, 277.9093933105469, 692.59326171875)",15,A team in Shell Nigeria hold one of their spill response and remediation review sessions. 
811,page 30 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 707.9208374023438, 294.260986328125, 749.4168090820312)",38,"SPDC has also implemented several local initiatives and partnerships to address the underlying causes and raise awareness of the damage caused by breaking pipelines and crude oil theft. For example, communities are awarded contracts to monitor the company's "
812,page 30 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 217.5628662109375, 517.7460327148438, 239.05886840820312)",12,"pipelines and SPDC promotes alternative livelihoods through entrepreneurship, employment and education programmes. "
813,page 30 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 247.5628662109375, 547.0339965820312, 299.0588684082031)",48,"In 2020, SPDC reduced the volume of operational spills of more than 100 kilograms to about 0.02 thousand tonnes of crude oil (11 incidents) compared with about 0.03 thousand tonnes of crude oil (seven incidents) in 2019. This represents a year-on-year reduction of around a third by weight. "
814,page 30 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 307.5628662109375, 551.7941284179688, 369.0588684082031)",58,"In 2020, more than 90% of oil spills of more than 100 kilograms from the SPDC JV’s facilities were due to third-party interference and other illegal activities. The volume of crude oil spills of more than 100 kilograms caused by sabotage was 1.4 thousand tonnes (122 incidents) in 2020 compared with 2.3 thousand tonnes (156 incidents) in 2019. "
815,page 30 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 379.3648681640625, 511.0020751953125, 391.3088684082031)",6,SPILL RESPONSE AND PREVENTION IN NIGERIA 
816,page 30 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 395.0738525390625, 462.40301513671875, 417.5588684082031)",8,Spills in 2020 Number of operational spills 11 
817,page 30 of ../pdf/shell-sustainability-report-2020.pdf,"(310.39404296875, 418.5628662109375, 490.3870544433594, 430.0588684082031)",6,Volume of operational spills 20 tonnes 
818,page 30 of ../pdf/shell-sustainability-report-2020.pdf,"(310.39404296875, 431.0628662109375, 544.8430786132812, 452.5588684082031)",17,Number of spills caused by third-party interference and other illegal activities 122 91.7% of the total number 
819,page 30 of ../pdf/shell-sustainability-report-2020.pdf,"(310.39404296875, 453.5628662109375, 544.6990356445312, 475.0588684082031)",18,"Volume of spills caused by third-party interference and other illegal activities 1,438 tonnes 98.6% of the total volume "
820,page 30 of ../pdf/shell-sustainability-report-2020.pdf,"(310.39404296875, 476.0628662109375, 341.51409912109375, 487.5588684082031)",3,Cle Clean-up an-up 
821,page 30 of ../pdf/shell-sustainability-report-2020.pdf,"(310.39404296875, 493.5628662109375, 399.1380920410156, 515.058837890625)",6,Average days before joint investigations commence 
822,page 30 of ../pdf/shell-sustainability-report-2020.pdf,"(455.81103515625, 488.5628662109375, 542.5870971679688, 520.058837890625)",10,"Two days in 2020, improved from six days in 2016 "
823,page 30 of ../pdf/shell-sustainability-report-2020.pdf,"(310.39404296875, 526.0628662109375, 413.5700378417969, 547.558837890625)",9,Average days to complete the recovery of surface oil 
824,page 30 of ../pdf/shell-sustainability-report-2020.pdf,"(455.81103515625, 521.0628662109375, 541.6751098632812, 552.558837890625)",10,"Five days in 2020, improved from 13 days in 2016 "
825,page 30 of ../pdf/shell-sustainability-report-2020.pdf,"(310.39404296875, 553.5628662109375, 536.1231079101562, 575.058837890625)",12,Number of sites remediated 50 in 2020 464 in total since 2016 
826,page 30 of ../pdf/shell-sustainability-report-2020.pdf,"(310.39404296875, 576.0628662109375, 345.9780578613281, 587.558837890625)",3,Pr Preevvention ention 
827,page 30 of ../pdf/shell-sustainability-report-2020.pdf,"(310.39404296875, 588.5628662109375, 535.7071533203125, 610.058837890625)",12,Illegal theft points removed 166 in 2020 689 in total since 2017 
828,page 30 of ../pdf/shell-sustainability-report-2020.pdf,"(310.39404296875, 611.0628662109375, 496.3952941894531, 622.558837890625)",9,Steel cages installed to protect wellheads 364 in total 
